dataset,method,codec,component,bytes,MiB
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_copy_offsets_varint,10266,0.010
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_literal_offsets,40968,0.039
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_literal_offsets_varint,10306,0.010
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_block_ids,40964,0.039
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_block_ids_varint,10269,0.010
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_pt,240309,0.229
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_pt_bitvector,30039,0.029
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_cpl,292522,0.279
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_cpl_varint,168712,0.161
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_sr,585044,0.558
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_sr_varint,373459,0.356
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_partial_lp,376192,0.359
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,size_hybrid_m_phim1,1322759,1.261
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,serialized_index_file,7929538,7.562
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_index,8637080,8.237
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_r,2646516,2.524
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_offsets,40968,0.039
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_offsets_varint,10374,0.010
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_copy_offsets,40968,0.039
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_copy_offsets_varint,10266,0.010
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_literal_offsets,40968,0.039
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_literal_offsets_varint,10306,0.010
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_block_ids,40964,0.039
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_block_ids_varint,10269,0.010
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_pt,240309,0.229
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_pt_bitvector,30039,0.029
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_cpl,292522,0.279
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_cpl_varint,168712,0.161
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_sr,585044,0.558
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_sr_varint,373459,0.356
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_lp,376192,0.359
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,size_hybrid_m_phim1,1322759,1.261
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,serialized_index_file,7261282,6.925
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_index,7851717,7.488
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_r,2611336,2.490
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_offsets,20488,0.020
