dataset,budget,method,codec,component,bytes,MiB,relative_to_r_rlzsa_percent
SARS-Cov-2_40,12.5,r-RLZSA,raw,CPL,169226,0.161,100.00
SARS-Cov-2_40,12.5,r-RLZSA,raw,LP,185796,0.177,100.00
SARS-Cov-2_40,12.5,r-RLZSA,raw,reference,2611336,2.490,100.00
SARS-Cov-2_40,12.5,r-RLZSA,raw,Phi_fallback,1322759,1.261,100.00
SARS-Cov-2_40,12.5,r-RLZSA,raw,Other(serialized),2302328,2.196,
SARS-Cov-2_40,12.5,Vr-RLZSA-v1,v1,block_ids,5155,0.005,25.17
SARS-Cov-2_40,12.5,Vr-RLZSA-v1,v1,SR,208413,0.199,61.58
SARS-Cov-2_40,12.5,Vr-RLZSA-v1,v1,offsets,61464,0.059,100.00
SARS-Cov-2_40,12.5,Vr-RLZSA-v1,v1,PT,131062,0.125,100.00
SARS-Cov-2_40,12.5,Vr-RLZSA-v1,v1,CPL,169226,0.161,100.00
SARS-Cov-2_40,12.5,Vr-RLZSA-v1,v1,LP,185796,0.177,100.00
SARS-Cov-2_40,12.5,Vr-RLZSA-v1,v1,reference,2611336,2.490,100.00
SARS-Cov-2_40,12.5,Vr-RLZSA-v1,v1,Phi_fallback,1322759,1.261,100.00
SARS-Cov-2_40,12.5,Vr-RLZSA-v1,v1,Other(serialized),2302350,2.196,
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,block_ids,5155,0.005,25.17
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,SR,208413,0.199,61.58
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,offsets,15501,0.015,25.22
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,PT,16383,0.016,12.50
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,CPL,95084,0.091,56.19
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,LP,185796,0.177,100.00
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,reference,2611336,2.490,100.00
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,Phi_fallback,1322759,1.261,100.00
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,Other(serialized),2302390,2.196,
world_leaders,25,r-RLZSA,raw,block_ids,45868,0.044,100.00
world_leaders,25,r-RLZSA,raw,SR,384656,0.367,100.00
world_leaders,25,r-RLZSA,raw,offsets,137616,0.131,100.00
world_leaders,25,r-RLZSA,raw,PT,139164,0.133,100.00
world_leaders,25,r-RLZSA,raw,CPL,192328,0.183,100.00
world_leaders,25,r-RLZSA,raw,LP,172000,0.164,100.00
world_leaders,25,r-RLZSA,raw,reference,1703612,1.625,100.00
world_leaders,25,r-RLZSA,raw,Phi_fallback,5539457,5.283,100.00
world_leaders,25,r-RLZSA,raw,Other(serialized),9122596,8.700,
world_leaders,25,Vr-RLZSA-v1,v1,block_ids,11495,0.011,25.06
world_leaders,25,Vr-RLZSA-v1,v1,SR,253876,0.242,66.00
world_leaders,25,Vr-RLZSA-v1,v1,offsets,137616,0.131,100.00
world_leaders,25,Vr-RLZSA-v1,v1,PT,139164,0.133,100.00
world_leaders,25,Vr-RLZSA-v1,v1,CPL,192328,0.183,100.00
world_leaders,25,Vr-RLZSA-v1,v1,LP,172000,0.164,100.00
world_leaders,25,Vr-RLZSA-v1,v1,reference,1703612,1.625,100.00
world_leaders,25,Vr-RLZSA-v1,v1,Phi_fallback,5539457,5.283,100.00
world_leaders,25,Vr-RLZSA-v1,v1,Other(serialized),9122618,8.700,
world_leaders,25,Vr-RLZSA-v2,v2,block_ids,11495,0.011,25.06
world_leaders,25,Vr-RLZSA-v2,v2,SR,253876,0.242,66.00
world_leaders,25,Vr-RLZSA-v2,v2,offsets,34404,0.033,25.00
